GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SubEtha SMTP,org.subethamail.smtp.server,InvalidCommandNameException,16,0,0,0,7,0,4,0,4,0
SubEtha SMTP,org.subethamail.smtp.server,UnknownCommandException,12,4,0,0,5,2,3,1,3,1
SubEtha SMTP,org.subethamail.smtp.server,SMTPServer,163,255,16,8,53,79,33,29,21,29
SubEtha SMTP,org.subethamail.smtp.server,TimeBasedSessionIdFactory,0,34,0,2,0,9,0,3,0,2
SubEtha SMTP,org.subethamail.smtp.server,CommandRegistry,0,228,0,4,0,22,0,5,0,3
SubEtha SMTP,org.subethamail.smtp.server,CommandException,12,4,0,0,5,2,3,1,3,1
SubEtha SMTP,org.subethamail.smtp.server,RequireAuthCommandWrapper,4,27,0,4,1,8,1,5,1,3
SubEtha SMTP,org.subethamail.smtp.server,Session,190,352,18,24,60,104,27,34,11,29
SubEtha SMTP,org.subethamail.smtp.server,HelpMessage,103,75,30,4,17,16,19,5,4,3
SubEtha SMTP,org.subethamail.smtp.server,RequireTLSCommandWrapper,4,27,1,3,1,8,2,4,1,3
SubEtha SMTP,org.subethamail.smtp.server,ServerThread,100,228,2,6,39,68,3,13,1,11
SubEtha SMTP,org.subethamail.smtp.server,BaseCommand,5,70,2,4,2,17,3,7,1,6
SubEtha SMTP,org.subethamail.smtp.server,CommandHandler,67,128,8,12,13,31,12,10,5,7
SubEtha SMTP,org.subethamail.smtp.command,MailCommand,13,120,2,14,7,33,2,8,0,2
SubEtha SMTP,org.subethamail.smtp.command,AuthCommand,17,85,4,12,8,29,4,6,0,2
SubEtha SMTP,org.subethamail.smtp.command,QuitCommand,0,11,0,0,0,5,0,2,0,2
SubEtha SMTP,org.subethamail.smtp.command,VerifyCommand,4,5,0,0,2,2,1,1,1,1
SubEtha SMTP,org.subethamail.smtp.command,HelloCommand,0,38,0,2,0,10,0,3,0,2
SubEtha SMTP,org.subethamail.smtp.command,DataCommand,10,80,2,6,5,27,2,4,0,2
SubEtha SMTP,org.subethamail.smtp.command,EhloCommand,12,88,5,7,3,24,4,4,0,2
